%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
31.05.2025;Авиатопливо ТС-1;Организация2;56,644
28.02.2025;Авиатопливо ТС-1;Организация2;61,953
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;183,438
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;62,966
30.04.2024;Авиатопливо ТС-1;Организация2;63,127
30.04.2025;Авиатопливо ТС-1;Организация2;190,001
30.09.2024;Авиатопливо ТС-1;Организация2;53,112
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;110,798
28.02.2025;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;335,986
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;335,986
31.03.2025;Авиатопливо ТС-1;Организация2;51,379
30.11.2025;Авиатопливо ТС-1;Организация2;111,639
30.04.2025;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;114,326
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;62,764
31.10.2024;Авиатопливо ТС-1;Организация2;347,277
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2024;Авиатопливо ТС-1;Организация2;62,764
31.12.2024;Авиатопливо ТС-1;Организация2;123,098
