%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;112,210
30.11.2025;Авиатопливо ТС-1;Организация2;176,095
30.11.2024;Авиатопливо ТС-1;Организация2;249,883
30.09.2025;Авиатопливо ТС-1;Организация2;64,350
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;111,639
30.09.2025;Авиатопливо ТС-1;Организация2;176,095
30.09.2025;Авиатопливо ТС-1;Организация2;112,210
31.10.2024;Авиатопливо ТС-1;Организация2;166,878
31.10.2024;Авиатопливо ТС-1;Организация2;64,371
31.08.2024;Авиатопливо ТС-1;Организация2;62,887
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;119,767
31.12.2024;Авиатопливо ТС-1;Организация2;65,656
31.07.2025;Авиатопливо ТС-1;Организация2;65,668
30.11.2024;Авиатопливо ТС-1;Организация2;64,909
30.11.2024;Авиатопливо ТС-1;Организация2;119,243
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;65,668
30.09.2025;Авиатопливо ТС-1;Организация2;127,233
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;112,690
30.11.2025;Авиатопливо ТС-1;Организация2;64,350
31.05.2025;Авиатопливо ТС-1;Организация2;112,690
31.07.2024;Авиатопливо ТС-1;Организация2;113,392
31.07.2025;Авиатопливо ТС-1;Организация2;359,030
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;65,668
30.06.2025;Авиатопливо ТС-1;Организация2;359,030
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;65,668
31.08.2024;Авиатопливо ТС-1;Организация2;115,394
30.06.2025;Авиатопливо ТС-1;Организация2;61,953
30.04.2025;Авиатопливо ТС-1;Организация2;56,644
31.03.2025;Авиатопливо ТС-1;Организация2;56,644
28.02.2025;Авиатопливо ТС-1;Организация2;56,644
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;347,575
28.02.2025;Авиатопливо ТС-1;Организация2;190,001
31.05.2025;Авиатопливо ТС-1;Организация2;61,953
31.08.2025;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;56,644
31.07.2025;Авиатопливо ТС-1;Организация2;56,644
31.08.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;190,001
31.05.2025;Авиатопливо ТС-1;Организация2;292,390
31.01.2024;Авиатопливо ТС-1;Организация2;119,179
30.11.2024;Авиатопливо ТС-1;Организация2;65,656
31.12.2024;Авиатопливо ТС-1;Организация2;230,636
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;62,887
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;118,767
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2025;Авиатопливо ТС-1;Организация2;174,056
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;176,095
31.10.2025;Авиатопливо ТС-1;Организация2;364,024
31.10.2024;Авиатопливо ТС-1;Организация2;54,676
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;230,636
31.05.2025;Авиатопливо ТС-1;Организация2;359,030
30.06.2025;Авиатопливо ТС-1;Организация2;112,690
31.03.2025;Авиатопливо ТС-1;Организация2;64,572
31.05.2025;Авиатопливо ТС-1;Организация2;64,572
31.10.2025;Авиатопливо ТС-1;Организация2;64,350
31.12.2025;Авиатопливо ТС-1;Организация2;232,905
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;64,572
30.06.2025;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;238,680
30.04.2025;Авиатопливо ТС-1;Организация2;64,572
31.01.2025;Авиатопливо ТС-1;Организация2;64,572
30.04.2025;Авиатопливо ТС-1;Организация2;238,680
30.09.2024;Авиатопливо ТС-1;Организация2;134,894
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;229,775
30.11.2024;Авиатопливо ТС-1;Организация2;342,450
30.11.2025;Авиатопливо ТС-1;Организация2;364,024
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;175,568
31.08.2025;Авиатопливо ТС-1;Организация2;238,680
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;364,024
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;117,543
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;150,335
31.12.2025;Авиатопливо ТС-1;Организация2;65,828
31.03.2024;Авиатопливо ТС-1;Организация2;18,268
31.08.2024;Авиатопливо ТС-1;Организация2;368,838
31.08.2024;Авиатопливо ТС-1;Организация2;125,385
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;112,690
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;356,431
31.10.2024;Авиатопливо ТС-1;Организация2;66,599
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;108,502
28.02.2025;Авиатопливо ТС-1;Организация2;112,690
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;232,905
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;185,423
31.12.2025;Авиатопливо ТС-1;Организация2;364,024
31.03.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;108,502
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;263,512
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
