%Дата;Номенклатура Наименование;Организация Наименование;ДвижениеНП
21.06.2024;Авиатопливо ТС-1;Организация2;359,383
02.07.2024;Авиатопливо ТС-1;Организация2;35,587
11.07.2024;Авиатопливо ТС-1;Организация2;-86,678
13.07.2024;Авиатопливо ТС-1;Организация2;463,693
14.07.2024;Авиатопливо ТС-1;Организация2;-126,421
15.07.2024;Авиатопливо ТС-1;Организация2;-4,094
16.07.2024;Авиатопливо ТС-1;Организация2;231,029
03.07.2024;Авиатопливо ТС-1;Организация2;-79,014
29.07.2024;Авиатопливо ТС-1;Организация2;-100
31.07.2024;Авиатопливо ТС-1;Организация2;-0,504
04.07.2024;Авиатопливо ТС-1;Организация2;0
06.07.2024;Авиатопливо ТС-1;Организация2;929,801
07.07.2024;Авиатопливо ТС-1;Организация2;395,396
09.07.2024;Авиатопливо ТС-1;Организация2;-234,479
10.07.2024;Авиатопливо ТС-1;Организация2;-83,426
17.07.2024;Авиатопливо ТС-1;Организация2;227,458
18.07.2024;Авиатопливо ТС-1;Организация2;12,362
19.07.2024;Авиатопливо ТС-1;Организация2;-327,754
22.07.2024;Авиатопливо ТС-1;Организация2;-148,719
23.07.2024;Авиатопливо ТС-1;Организация2;45,364
24.07.2024;Авиатопливо ТС-1;Организация2;-96,848
25.07.2024;Авиатопливо ТС-1;Организация2;-207,096
27.07.2024;Авиатопливо ТС-1;Организация2;-63,177
20.07.2024;Авиатопливо ТС-1;Организация2;39,837
01.08.2024;Авиатопливо ТС-1;Организация2;125,385
04.08.2024;Авиатопливо ТС-1;Организация2;115,394
05.08.2024;Авиатопливо ТС-1;Организация2;186,461
07.08.2024;Авиатопливо ТС-1;Организация2;312,681
10.08.2024;Авиатопливо ТС-1;Организация2;363,102
06.08.2024;Авиатопливо ТС-1;Организация2;439,231
13.08.2024;Авиатопливо ТС-1;Организация2;368,838
14.08.2024;Авиатопливо ТС-1;Организация2;62,887
15.08.2024;Авиатопливо ТС-1;Организация2;-204,341
15.08.2024;Авиатопливо ТС-1;Организация1;1797,08
16.08.2024;Авиатопливо ТС-1;Организация2;-125,979
18.08.2024;Авиатопливо ТС-1;Организация2;171,689
19.08.2024;Авиатопливо ТС-1;Организация2;-89,492
21.08.2024;Авиатопливо ТС-1;Организация2;-24,79
23.08.2024;Авиатопливо ТС-1;Организация1;-48,918
26.08.2024;Авиатопливо ТС-1;Организация1;-136,127
27.08.2024;Авиатопливо ТС-1;Организация2;-25,557
27.08.2024;Авиатопливо ТС-1;Организация1;-147,947
28.08.2024;Авиатопливо ТС-1;Организация2;-37,549
28.08.2024;Авиатопливо ТС-1;Организация1;-124,465
29.08.2024;Авиатопливо ТС-1;Организация2;-104,743
31.08.2024;Авиатопливо ТС-1;Организация1;1541,944
02.09.2024;Авиатопливо ТС-1;Организация2;-39,055
05.09.2024;Авиатопливо ТС-1;Организация2;-102,004
06.09.2024;Авиатопливо ТС-1;Организация2;-132,09
09.09.2024;Авиатопливо ТС-1;Организация2;-123,819
10.09.2024;Авиатопливо ТС-1;Организация2;-159,408
11.09.2024;Авиатопливо ТС-1;Организация2;-295,685
12.09.2024;Авиатопливо ТС-1;Организация2;-133,675
13.09.2024;Авиатопливо ТС-1;Организация2;-111,749
17.09.2024;Авиатопливо ТС-1;Организация2;-269,73
19.09.2024;Авиатопливо ТС-1;Организация2;-87,15
20.09.2024;Авиатопливо ТС-1;Организация2;-271,91
21.09.2024;Авиатопливо ТС-1;Организация2;-68,016
26.09.2024;Авиатопливо ТС-1;Организация2;-156,967
27.09.2024;Авиатопливо ТС-1;Организация2;112,49
22.09.2024;Авиатопливо ТС-1;Организация2;53,112
23.09.2024;Авиатопливо ТС-1;Организация2;356,228
02.09.2024;Авиатопливо ТС-1;Организация1;-207,508
03.09.2024;Авиатопливо ТС-1;Организация1;-174,764
04.09.2024;Авиатопливо ТС-1;Организация1;-199,223
05.09.2024;Авиатопливо ТС-1;Организация1;-199,223
06.09.2024;Авиатопливо ТС-1;Организация1;-199,223
09.09.2024;Авиатопливо ТС-1;Организация1;-200,012
10.09.2024;Авиатопливо ТС-1;Организация1;-174,986
11.09.2024;Авиатопливо ТС-1;Организация1;-151,286
12.09.2024;Авиатопливо ТС-1;Организация1;-175,776
13.09.2024;Авиатопливо ТС-1;Организация1;-155,868
